category,spage,lpage,domain
http://www.bikewagon.com/apparel/shoes?p=5,1,1,bikewagon.com
http://www.bikewagon.com/apparel/wetsuit?p=1,1,1,bikewagon.com
http://www.bikewagon.com/bikes/cyclocross-bikes?p=1,1,1,bikewagon.com
